DEBUG 2024-11-29 17:47:44,495 autoreload File C:\Python312\Lib\site-packages\urllib3\util\wait.py first seen with mtime 1730532044.8076205
DEBUG 2024-11-29 17:47:44,495 autoreload File C:\Python312\Lib\site-packages\numpy\random\_mt19937.cp312-win_amd64.pyd first seen with mtime 1731399517.0521815
DEBUG 2024-11-29 17:47:44,495 autoreload File C:\Python312\Lib\site-packages\django\contrib\admin\actions.py first seen with mtime 1730979579.167985
DEBUG 2024-11-29 17:47:44,497 autoreload File C:\Python312\Lib\site-packages\httpcore\_exceptions.py first seen with mtime 1732792709.6624649
DEBUG 2024-11-29 17:47:44,497 autoreload File C:\Python312\Lib\site-packages\django\db\migrations\utils.py first seen with mtime 1730979580.7399952
DEBUG 2024-11-29 17:47:44,497 autoreload File C:\Python312\Lib\site-packages\setuptools\_distutils\compat\__init__.py first seen with mtime 1731780284.4454908
DEBUG 2024-11-29 17:47:44,497 autoreload File C:\Python312\Lib\struct.py first seen with mtime 1725636674.0
DEBUG 2024-11-29 17:47:44,497 autoreload File C:\Python312\Lib\site-packages\jiter\jiter.cp312-win_amd64.pyd first seen with mtime 1731399198.711766
DEBUG 2024-11-29 17:47:44,497 autoreload File C:\Python312\Lib\encodings\__init__.py first seen with mtime 1725636674.0
DEBUG 2024-11-29 17:47:44,497 autoreload File C:\Python312\Lib\site-packages\pyparsing\testing.py first seen with mtime 1731388186.3883202
DEBUG 2024-11-29 17:47:44,497 autoreload File C:\Python312\Lib\site-packages\anyio\abc\_subprocesses.py first seen with mtime 1731399199.2114868
DEBUG 2024-11-29 17:47:44,497 autoreload File C:\Python312\Lib\site-packages\requests\hooks.py first seen with mtime 1730532045.2087948
DEBUG 2024-11-29 17:47:44,497 autoreload File C:\Python312\Lib\site-packages\django\views\static.py first seen with mtime 1730979580.8321
DEBUG 2024-11-29 17:47:44,497 autoreload File C:\Python312\DLLs\_queue.pyd first seen with mtime 1725636728.0
DEBUG 2024-11-29 17:47:44,501 autoreload File C:\Python312\Lib\site-packages\numpy\_pytesttester.py first seen with mtime 1731399516.8463871
DEBUG 2024-11-29 17:47:44,501 autoreload File C:\Python312\Lib\site-packages\django\core\management\color.py first seen with mtime 1730979580.6921537
DEBUG 2024-11-29 17:47:44,501 autoreload File C:\Python312\Lib\site-packages\setuptools\warnings.py first seen with mtime 1731780284.3565755
DEBUG 2024-11-29 17:47:44,501 autoreload File C:\Python312\Lib\site-packages\pandas\core\strings\__init__.py first seen with mtime 1731399519.838372
DEBUG 2024-11-29 17:47:44,501 autoreload File C:\Python312\Lib\site-packages\chardet\euctwfreq.py first seen with mtime 1731780066.087491
DEBUG 2024-11-29 17:47:44,501 autoreload File C:\Python312\Lib\site-packages\django\core\serializers\json.py first seen with mtime 1730979580.7079222
DEBUG 2024-11-29 17:47:44,501 autoreload File C:\Python312\Lib\site-packages\h11\_abnf.py first seen with mtime 1732792709.4768014
DEBUG 2024-11-29 17:47:44,505 autoreload File C:\Python312\Lib\site-packages\setuptools\_distutils\archive_util.py first seen with mtime 1731780284.3625927
DEBUG 2024-11-29 17:47:44,505 autoreload File C:\Python312\Lib\site-packages\setuptools\_vendor\more_itertools\more.py first seen with mtime 1731780284.655558
DEBUG 2024-11-29 17:47:44,505 autoreload File C:\Python312\Lib\site-packages\openai\types\beta\static_file_chunking_strategy_object.py first seen with mtime 1731399199.7875528
DEBUG 2024-11-29 17:47:44,505 autoreload File C:\Python312\Lib\site-packages\openai\_models.py first seen with mtime 1731399199.6310177
DEBUG 2024-11-29 17:47:44,505 autoreload File C:\Python312\Lib\site-packages\google\api_core\rest_streaming.py first seen with mtime 1731780292.089948
DEBUG 2024-11-29 17:47:44,505 autoreload File C:\Python312\Lib\site-packages\tqdm\autonotebook.py first seen with mtime 1731388186.2072332
DEBUG 2024-11-29 17:47:44,505 autoreload File C:\Python312\Lib\site-packages\numpy\_core\records.py first seen with mtime 1731399517.1781628
DEBUG 2024-11-29 17:47:44,505 autoreload File C:\Python312\Lib\site-packages\django\template\autoreload.py first seen with mtime 1730979580.7967653
DEBUG 2024-11-29 17:47:44,508 autoreload File C:\Python312\Lib\site-packages\pydantic\_internal\_import_utils.py first seen with mtime 1731388189.4336202
DEBUG 2024-11-29 17:47:44,508 autoreload File C:\Python312\Lib\site-packages\grpc\aio\_channel.py first seen with mtime 1731388187.2954402
DEBUG 2024-11-29 17:47:44,508 autoreload File C:\Python312\Lib\site-packages\openai\resources\models.py first seen with mtime 1731399199.6979342
DEBUG 2024-11-29 17:47:44,508 autoreload File C:\Python312\Lib\site-packages\pydantic\v1\env_settings.py first seen with mtime 1731388189.4759755
DEBUG 2024-11-29 17:47:44,508 autoreload File C:\Python312\Lib\site-packages\django\apps\registry.py first seen with mtime 1730979578.9792178
DEBUG 2024-11-29 17:47:44,508 autoreload File C:\Python312\Lib\site-packages\google\api_core\gapic_v1\method_async.py first seen with mtime 1731780292.103753
DEBUG 2024-11-29 17:47:44,508 autoreload File C:\Python312\Lib\site-packages\anyio\streams\__init__.py first seen with mtime 1731399199.2194993
DEBUG 2024-11-29 17:47:44,508 autoreload File C:\Python312\Lib\site-packages\urllib3\_collections.py first seen with mtime 1730532044.7936919
DEBUG 2024-11-29 17:47:44,508 autoreload File C:\Python312\Lib\site-packages\numpy\_utils\__init__.py first seen with mtime 1731399517.3090787
DEBUG 2024-11-29 17:47:44,508 autoreload File C:\Python312\Lib\colorsys.py first seen with mtime 1725636674.0
DEBUG 2024-11-29 17:47:44,508 autoreload File C:\Python312\Lib\site-packages\django\contrib\staticfiles\management\__init__.py first seen with mtime 1730979580.6764526
DEBUG 2024-11-29 17:47:44,508 autoreload File C:\Python312\Lib\site-packages\sqlparse\engine\statement_splitter.py first seen with mtime 1730979578.8646388
DEBUG 2024-11-29 17:47:44,508 autoreload File C:\Python312\Lib\site-packages\sqlparse\filters\others.py first seen with mtime 1730979578.8646388
DEBUG 2024-11-29 17:47:44,508 autoreload File C:\Python312\Lib\site-packages\openai\types\chat\chat_completion.py first seen with mtime 1731399199.839937
DEBUG 2024-11-29 17:47:44,508 autoreload File C:\Python312\Lib\argparse.py first seen with mtime 1725636674.0
DEBUG 2024-11-29 17:47:44,508 autoreload File C:\Python312\Lib\site-packages\rest_framework\status.py first seen with mtime 1731399421.1870606
DEBUG 2024-11-29 17:47:44,508 autoreload File C:\Python312\Lib\site-packages\pandas\_version_meson.py first seen with mtime 1731399519.706178
DEBUG 2024-11-29 17:47:44,515 autoreload File C:\Python312\Lib\site-packages\httpx\__version__.py first seen with mtime 1732792709.9462492
DEBUG 2024-11-29 17:47:44,515 autoreload File C:\Python312\Lib\site-packages\django\utils\_os.py first seen with mtime 1730979580.8131354
DEBUG 2024-11-29 17:47:44,516 autoreload File C:\Python312\Lib\site-packages\httpcore\_async\connection_pool.py first seen with mtime 1732792709.6740463
DEBUG 2024-11-29 17:47:44,516 autoreload File C:\Python312\Lib\site-packages\django\contrib\admin\decorators.py first seen with mtime 1730979579.1732152
DEBUG 2024-11-29 17:47:44,516 autoreload File C:\Python312\Lib\gettext.py first seen with mtime 1725636674.0
DEBUG 2024-11-29 17:47:44,516 autoreload File C:\Python312\Lib\site-packages\google\ai\generativelanguage_v1beta\types\file_service.py first seen with mtime 1731388192.025055
DEBUG 2024-11-29 17:47:44,516 autoreload File C:\Python312\Lib\site-packages\pydantic\v1\tools.py first seen with mtime 1731388189.4886568
DEBUG 2024-11-29 17:47:44,516 autoreload File C:\Python312\Lib\site-packages\django\core\cache\backends\filebased.py first seen with mtime 1730979580.6764526
DEBUG 2024-11-29 17:47:44,516 autoreload File C:\Python312\Lib\site-packages\django\contrib\contenttypes\models.py first seen with mtime 1730979579.9203484
DEBUG 2024-11-29 17:47:44,516 autoreload File C:\Python312\Lib\site-packages\pandas\core\resample.py first seen with mtime 1731399519.7368178
DEBUG 2024-11-29 17:47:44,516 autoreload File C:\Python312\Lib\site-packages\google\ai\generativelanguage_v1beta\services\permission_service\__init__.py first seen with mtime 1731388191.9934742
DEBUG 2024-11-29 17:47:44,516 autoreload File C:\Python312\Lib\site-packages\google\api_core\gapic_v1\method.py first seen with mtime 1731780292.103753
DEBUG 2024-11-29 17:47:44,516 autoreload File C:\Python312\Lib\importlib\metadata\_text.py first seen with mtime 1725636674.0
DEBUG 2024-11-29 17:47:44,516 autoreload File C:\Python312\Lib\site-packages\idna\idnadata.py first seen with mtime 1731780066.7598984
DEBUG 2024-11-29 17:47:44,516 autoreload File C:\Python312\Lib\site-packages\django\forms\forms.py first seen with mtime 1730979580.7621484
DEBUG 2024-11-29 17:47:44,516 autoreload File C:\Python312\Lib\site-packages\google\auth\transport\requests.py first seen with mtime 1732792594.2695906
DEBUG 2024-11-29 17:47:44,516 autoreload File C:\Python312\Lib\typing.py first seen with mtime 1725636674.0
